tKey,value,countryCode
lessThanHighSchool,Less than a High School Diploma,US
highSchool,High School Diploma,US
vocational,Vocational Training,US
attendedCollage,Attended College,US
bachelor,Bachelor Degree,US
graduate,Graduate Degree,US
feedbackTitle,If you had any other feedback or thoughts{comma} you can enter them here:,US
finishText,Finish,US
weAreDone,We Are Done!,US
doneDescription,This test was part of a research study on the ethics of self-driving cars and what the general public thinks about some of the policies that the government might adopt.,US
exitText,Exit,US
dataFrom,You are seeing the data for,US
totalSavedPeople,Total saved people,US
landingStudy,The self-driving cars safety study,US
landingShare,Share,US
landingDescription,Maecenas aliquet massa dolor{comma} nec dignissim orci fringilla eu. Proin ut massa et nunc fermentum posuere sit amet ut magna. Integer a commodo enim. Aliquam erat volutpat. Pellentesque egestas{comma} elit a molestie scelerisque{comma} mi odio mollis sem{comma} id posuere diam nisi at sem. Fusce mattis sem laoreet{comma} rutrum dui nec{comma} pharetra neque.,US
landingStaticSurvey,Static Survey,US
staticDescription,Lorem ipsum dolor sit amet{comma} consectetur adipiscing elit. Nulla placerat turpis ut ornare commodo. Cras malesuada{comma} turpis eget fermentum rhoncus{comma} odio risus sollicitudin risus{comma} et placerat tortor magna eu mauris.,US
staticEstimated,Estimated Time: 20 min,US
staticButtonText,Start Static Survey,US
landingInteractiveSurvey,Interactive Survey,US
interactiveDescription,Lorem ipsum dolor sit amet{comma} consectetur adipiscing elit. Nulla placerat turpis ut ornare commodo. Cras malesuada{comma} turpis eget fermentum rhoncus{comma} odio risus sollicitudin risus{comma} et placerat tortor magna eu mauris.,US
interactiveEstimated,Estimated Time: 10 min,US
interactiveButtonText,Start Interactive Survey,US
dilema,Self-driving cars dilemma,US
programQuestion,Where would you program the autonomous vehicle to position itself it this situation?,US
dragText,Drag the white car or click on one of the arrows and check results below.,US
expectedNumber,Expected number of ,US
fatalities,fatalities,US
and,and,US
injuries,injuries,US
perOneMillion, per 1 million cases,US
truckDriver,Truck Driver,US
totalInjuries,Total injuries,US
submit,Submit,US
solution2Description,Lorem ipsum dolor sit amet{comma} consectetur adipisicing elit.2,US
solution3Description,In this strategy{comma} all road users have equivalent risk per hour traveled. Overall risk is reduced by half.,US
solution2Question1,What is the new number of pedestrian deaths{comma} compared to what it was before self-driving cars?,US
solution2Question2,Was the number of fatalities reduced for all four categories of the road users after self-driving cars are introduced?,US
solution2Question3,Who uses the road the least?,US
solution3Question1,What is the new number of pedestrian deaths{comma} compared to what it was before self-driving cars?,US
solution3Question2,Was the number of fatalities reduced for all four categories of the road users after self-driving cars are introduced?,US
solution3Question3,Who uses the road the least?,US
countryLabel,country,US
